classifier,model1,model2,image_size,n_component,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,ResNet101V2,MobileNetV2,256,500,0.8390000000000001,0.843,0.8390000000000001,0.833,0.69,0.787,0.69,0.735,0.9790000000000001,0.983,0.021,0.31,0.213,0.978
RF,DenseNet121,DenseNet169,256,50,0.838,0.8540000000000001,0.838,0.841,0.7490000000000001,0.746,0.7490000000000001,0.747,0.9840000000000001,0.981,0.016,0.251,0.254,0.978
RF,MobileNetV2,DenseNet121,256,50,0.838,0.8490000000000001,0.838,0.8390000000000001,0.73,0.7490000000000001,0.73,0.7390000000000001,0.983,0.982,0.017,0.27,0.251,0.978
RF,MobileNetV2,DenseNet201,256,50,0.838,0.85,0.838,0.8390000000000001,0.7190000000000001,0.7490000000000001,0.7190000000000001,0.7340000000000001,0.982,0.982,0.018000000000000002,0.281,0.251,0.978
RF,VGG16,DenseNet169,128,50,0.838,0.845,0.838,0.838,0.725,0.7140000000000001,0.725,0.7190000000000001,0.983,0.982,0.017,0.275,0.28600000000000003,0.978
RF,Xception,VGG16,256,50,0.838,0.847,0.838,0.838,0.71,0.7290000000000001,0.71,0.7190000000000001,0.982,0.982,0.018000000000000002,0.29,0.271,0.978
RF,ResNet50V2,DenseNet201,256,100,0.838,0.846,0.838,0.836,0.721,0.773,0.721,0.746,0.981,0.982,0.019,0.27899999999999997,0.22699999999999998,0.978
RF,VGG19,ResNet152V2,256,500,0.838,0.8440000000000001,0.838,0.8340000000000001,0.701,0.777,0.701,0.737,0.98,0.982,0.02,0.299,0.223,0.978
RF,VGG19,MobileNetV2,128,50,0.8370000000000001,0.848,0.8370000000000001,0.838,0.733,0.7390000000000001,0.733,0.736,0.983,0.981,0.017,0.267,0.261,0.978
RF,VGG19,MobileNetV2,256,50,0.8370000000000001,0.8490000000000001,0.8370000000000001,0.838,0.7290000000000001,0.731,0.7290000000000001,0.73,0.983,0.982,0.017,0.271,0.26899999999999996,0.978
RF,MobileNetV2,DenseNet169,256,50,0.8370000000000001,0.847,0.8370000000000001,0.838,0.7240000000000001,0.736,0.7240000000000001,0.73,0.982,0.982,0.018000000000000002,0.276,0.264,0.978
RF,VGG16,ResNet50V2,256,500,0.8370000000000001,0.848,0.8370000000000001,0.835,0.713,0.774,0.713,0.742,0.98,0.982,0.02,0.287,0.226,0.978
RF,ResNet152V2,DenseNet169,256,500,0.8370000000000001,0.843,0.8370000000000001,0.835,0.7140000000000001,0.768,0.7140000000000001,0.74,0.981,0.982,0.019,0.28600000000000003,0.23199999999999998,0.978
RF,VGG19,ResNet101V2,256,500,0.8370000000000001,0.846,0.8370000000000001,0.8340000000000001,0.698,0.7759999999999999,0.698,0.735,0.98,0.982,0.02,0.302,0.22399999999999998,0.978
RF,Xception,ResNet152V2,256,100,0.8370000000000001,0.841,0.8370000000000001,0.833,0.695,0.769,0.695,0.73,0.9790000000000001,0.982,0.021,0.305,0.231,0.978
RF,VGG16,MobileNetV2,256,50,0.836,0.8490000000000001,0.836,0.8370000000000001,0.7240000000000001,0.721,0.7240000000000001,0.722,0.983,0.982,0.017,0.276,0.27899999999999997,0.978
RF,MobileNet,DenseNet169,128,50,0.836,0.8420000000000001,0.836,0.835,0.725,0.728,0.725,0.726,0.982,0.982,0.018000000000000002,0.275,0.272,0.978
