classifier,model,image_size,n_components,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,ResNet101,256,50,0.75,0.7879999999999999,0.75,0.7609999999999999,0.6559999999999999,0.583,0.6559999999999999,0.617,0.977,0.972,0.023,0.344,0.41700000000000004,0.9670000000000001
RF,ResNet152,256,50,0.75,0.7879999999999999,0.75,0.7609999999999999,0.653,0.591,0.653,0.62,0.976,0.972,0.024,0.34700000000000003,0.409,0.9670000000000001
RF,ResNet101,128,100,0.75,0.774,0.75,0.7559999999999999,0.65,0.591,0.65,0.619,0.975,0.972,0.025,0.35,0.409,0.9670000000000001
RF,ResNet50,256,1500,0.7490000000000001,0.767,0.7490000000000001,0.7120000000000001,0.405,0.732,0.405,0.521,0.9590000000000001,0.976,0.040999999999999995,0.595,0.268,0.966
RF,ResNet101,128,50,0.748,0.78,0.748,0.757,0.6559999999999999,0.5579999999999999,0.6559999999999999,0.603,0.976,0.972,0.024,0.344,0.442,0.966
RF,ResNet152,128,100,0.748,0.778,0.748,0.7559999999999999,0.609,0.5720000000000001,0.609,0.59,0.976,0.972,0.024,0.391,0.428,0.966
RF,InceptionV3,128,50,0.746,0.777,0.746,0.755,0.638,0.551,0.638,0.591,0.975,0.971,0.025,0.36200000000000004,0.449,0.966
RF,VGG16,128,1500,0.741,0.809,0.741,0.745,0.486,0.7509999999999999,0.486,0.59,0.968,0.973,0.032,0.514,0.249,0.966
RF,MobileNet,128,1500,0.7390000000000001,0.828,0.7390000000000001,0.716,0.414,0.86,0.414,0.5589999999999999,0.958,0.973,0.042,0.586,0.14,0.965
RF,InceptionResNetV2,256,1500,0.726,0.825,0.726,0.7090000000000001,0.401,0.856,0.401,0.546,0.9570000000000001,0.97,0.043,0.599,0.14400000000000002,0.9640000000000001
RF,ResNet152,128,50,0.7240000000000001,0.767,0.7240000000000001,0.737,0.62,0.5429999999999999,0.62,0.579,0.9740000000000001,0.9690000000000001,0.026000000000000002,0.38,0.457,0.963
RF,Xception,128,1500,0.7040000000000001,0.856,0.7040000000000001,0.7140000000000001,0.42700000000000005,0.9209999999999999,0.42700000000000005,0.583,0.961,0.9670000000000001,0.039,0.573,0.079,0.961
RF,ResNet101,256,1500,0.6990000000000001,0.7559999999999999,0.6990000000000001,0.6890000000000001,0.42200000000000004,0.713,0.42200000000000004,0.53,0.9590000000000001,0.965,0.040999999999999995,0.578,0.287,0.96
RF,VGG19,256,1500,0.687,0.807,0.687,0.6890000000000001,0.39799999999999996,0.8109999999999999,0.39799999999999996,0.534,0.956,0.9620000000000001,0.044000000000000004,0.602,0.18899999999999997,0.958
RF,ResNet50V2,128,1500,0.6859999999999999,0.828,0.6859999999999999,0.691,0.414,0.8859999999999999,0.414,0.564,0.956,0.9620000000000001,0.044000000000000004,0.586,0.114,0.958
RF,VGG16,256,1500,0.652,0.809,0.652,0.6759999999999999,0.413,0.794,0.413,0.5429999999999999,0.958,0.9590000000000001,0.042,0.5870000000000001,0.20600000000000002,0.9540000000000001
RF,InceptionV3,256,1500,0.601,0.8320000000000001,0.601,0.653,0.419,0.855,0.419,0.562,0.955,0.9540000000000001,0.045,0.581,0.145,0.9470000000000001
RF,ResNet152,256,1500,0.589,0.7609999999999999,0.589,0.637,0.4,0.618,0.4,0.486,0.958,0.955,0.042,0.6,0.382,0.945
RF,DenseNet201,256,1500,0.491,0.826,0.491,0.59,0.415,0.8079999999999999,0.415,0.5479999999999999,0.9540000000000001,0.9490000000000001,0.046,0.585,0.192,0.932
RF,DenseNet121,256,1500,0.441,0.8270000000000001,0.441,0.556,0.408,0.7759999999999999,0.408,0.535,0.953,0.948,0.047,0.5920000000000001,0.22399999999999998,0.925
RF,ResNet101V2,128,1500,0.439,0.851,0.439,0.5579999999999999,0.405,0.863,0.405,0.551,0.9520000000000001,0.948,0.048,0.595,0.13699999999999998,0.925
RF,DenseNet169,256,1500,0.429,0.8440000000000001,0.429,0.55,0.405,0.8140000000000001,0.405,0.541,0.953,0.948,0.047,0.595,0.18600000000000003,0.924
RF,MobileNetV2,256,1500,0.182,0.885,0.182,0.259,0.413,0.795,0.413,0.544,0.9440000000000001,0.943,0.055999999999999994,0.5870000000000001,0.205,0.8909999999999999
RF,MobileNet,256,1500,0.179,0.9440000000000001,0.179,0.264,0.395,0.857,0.395,0.541,0.9440000000000001,0.9420000000000001,0.055999999999999994,0.605,0.14300000000000002,0.8909999999999999
RF,ResNet101V2,256,1500,0.155,0.9229999999999999,0.155,0.217,0.396,0.818,0.396,0.534,0.943,0.9420000000000001,0.057,0.604,0.182,0.887
RF,ResNet50V2,256,1500,0.14400000000000002,0.963,0.14400000000000002,0.19699999999999998,0.382,0.843,0.382,0.526,0.9420000000000001,0.9420000000000001,0.057999999999999996,0.618,0.157,0.8859999999999999
RF,Xception,256,1500,0.141,0.958,0.141,0.188,0.39299999999999996,0.815,0.39299999999999996,0.53,0.9420000000000001,0.9420000000000001,0.057999999999999996,0.607,0.185,0.885
RF,ResNet152V2,256,1500,0.14,0.966,0.14,0.19,0.38299999999999995,0.858,0.38299999999999995,0.53,0.9420000000000001,0.9420000000000001,0.057999999999999996,0.617,0.142,0.885
