classifier,model1,model2,model3,image_size,accuracy,precision,recall,f1_score,balanced_accuracy,balanced_precision_PPV,balanced_recall_TPR,Bal_F1,TNR,NPV,FPR,FNR,FDR,Overall_Acc
RF,ResNet152V2,MobileNet,DenseNet201,128,0.879,0.882,0.879,0.877,0.768,0.813,0.768,0.79,0.986,0.987,0.013999999999999999,0.23199999999999998,0.187,0.9840000000000001
RF,VGG19,MobileNet,DenseNet121,256,0.879,0.8809999999999999,0.879,0.877,0.76,0.83,0.76,0.7929999999999999,0.985,0.987,0.015,0.24,0.17,0.9840000000000001
RF,VGG16,ResNet101V2,DenseNet121,256,0.879,0.8809999999999999,0.879,0.8759999999999999,0.752,0.823,0.752,0.7859999999999999,0.985,0.987,0.015,0.248,0.177,0.9840000000000001
RF,ResNet101V2,MobileNetV2,DenseNet121,256,0.879,0.8809999999999999,0.879,0.875,0.741,0.845,0.741,0.79,0.9840000000000001,0.988,0.016,0.259,0.155,0.9840000000000001
RF,ResNet152V2,MobileNet,MobileNetV2,256,0.879,0.882,0.879,0.872,0.708,0.897,0.708,0.7909999999999999,0.983,0.99,0.017,0.292,0.10300000000000001,0.9840000000000001
RF,VGG16,MobileNet,DenseNet169,128,0.878,0.882,0.878,0.877,0.774,0.833,0.774,0.802,0.986,0.987,0.013999999999999999,0.226,0.16699999999999998,0.9840000000000001
RF,ResNet101V2,MobileNet,DenseNet201,128,0.878,0.883,0.878,0.8759999999999999,0.763,0.815,0.763,0.7879999999999999,0.985,0.986,0.015,0.237,0.185,0.9840000000000001
RF,VGG16,MobileNet,DenseNet121,256,0.878,0.882,0.878,0.8759999999999999,0.757,0.805,0.757,0.78,0.986,0.987,0.013999999999999999,0.243,0.195,0.9840000000000001
RF,MobileNet,DenseNet121,DenseNet169,256,0.878,0.8809999999999999,0.878,0.8759999999999999,0.7659999999999999,0.83,0.7659999999999999,0.797,0.985,0.987,0.015,0.23399999999999999,0.17,0.9840000000000001
RF,DenseNet121,DenseNet169,DenseNet201,256,0.878,0.88,0.878,0.8759999999999999,0.757,0.8270000000000001,0.757,0.79,0.985,0.987,0.015,0.243,0.17300000000000001,0.9840000000000001
RF,VGG16,InceptionV3,DenseNet169,256,0.878,0.879,0.878,0.875,0.747,0.838,0.747,0.79,0.985,0.988,0.015,0.253,0.162,0.9840000000000001
RF,MobileNetV2,DenseNet121,DenseNet201,256,0.878,0.878,0.878,0.875,0.76,0.826,0.76,0.792,0.9840000000000001,0.987,0.016,0.24,0.174,0.9840000000000001
RF,MobileNet,MobileNetV2,DenseNet121,256,0.878,0.878,0.878,0.8740000000000001,0.738,0.8270000000000001,0.738,0.78,0.985,0.988,0.015,0.262,0.17300000000000001,0.9840000000000001
RF,VGG16,ResNet101V2,MobileNetV2,256,0.878,0.879,0.878,0.873,0.732,0.845,0.732,0.784,0.9840000000000001,0.988,0.016,0.268,0.155,0.9840000000000001
RF,VGG16,InceptionV3,DenseNet201,128,0.877,0.882,0.877,0.877,0.778,0.8,0.778,0.789,0.987,0.986,0.013000000000000001,0.222,0.2,0.9840000000000001
RF,VGG16,VGG19,DenseNet121,256,0.877,0.883,0.877,0.8759999999999999,0.7609999999999999,0.8109999999999999,0.7609999999999999,0.785,0.986,0.987,0.013999999999999999,0.239,0.18899999999999997,0.9840000000000001
RF,VGG16,MobileNetV2,DenseNet201,128,0.877,0.878,0.877,0.875,0.758,0.804,0.758,0.78,0.986,0.987,0.013999999999999999,0.242,0.196,0.9840000000000001
RF,ResNet152V2,MobileNet,DenseNet169,128,0.877,0.879,0.877,0.875,0.7559999999999999,0.807,0.7559999999999999,0.7809999999999999,0.986,0.987,0.013999999999999999,0.244,0.193,0.9840000000000001
RF,VGG16,DenseNet121,DenseNet201,256,0.877,0.879,0.877,0.8740000000000001,0.75,0.841,0.75,0.7929999999999999,0.9840000000000001,0.987,0.016,0.25,0.159,0.9840000000000001
RF,VGG16,ResNet101V2,ResNet152V2,256,0.877,0.8809999999999999,0.877,0.873,0.738,0.856,0.738,0.7929999999999999,0.9840000000000001,0.987,0.016,0.262,0.14400000000000002,0.9840000000000001
RF,InceptionV3,MobileNetV2,DenseNet201,128,0.8759999999999999,0.878,0.8759999999999999,0.8740000000000001,0.753,0.797,0.753,0.774,0.986,0.987,0.013999999999999999,0.247,0.203,0.983
RF,MobileNet,MobileNetV2,DenseNet121,128,0.8759999999999999,0.879,0.8759999999999999,0.8740000000000001,0.7559999999999999,0.815,0.7559999999999999,0.784,0.986,0.987,0.013999999999999999,0.244,0.185,0.983
RF,VGG19,MobileNet,MobileNetV2,256,0.8759999999999999,0.879,0.8759999999999999,0.873,0.735,0.835,0.735,0.782,0.985,0.987,0.015,0.265,0.165,0.983
RF,ResNet152V2,MobileNetV2,DenseNet121,256,0.8759999999999999,0.88,0.8759999999999999,0.873,0.742,0.8370000000000001,0.742,0.787,0.985,0.988,0.015,0.258,0.163,0.983
RF,MobileNet,DenseNet121,DenseNet201,256,0.8759999999999999,0.877,0.8759999999999999,0.873,0.753,0.823,0.753,0.7859999999999999,0.985,0.987,0.015,0.247,0.177,0.983
RF,VGG16,DenseNet121,DenseNet201,128,0.875,0.882,0.875,0.875,0.7909999999999999,0.782,0.7909999999999999,0.7859999999999999,0.987,0.985,0.013000000000000001,0.209,0.218,0.983
RF,VGG16,InceptionV3,MobileNetV2,256,0.875,0.885,0.875,0.875,0.7609999999999999,0.835,0.7609999999999999,0.7959999999999999,0.986,0.986,0.013999999999999999,0.239,0.165,0.983
RF,VGG16,ResNet152V2,MobileNet,128,0.875,0.882,0.875,0.8740000000000001,0.7440000000000001,0.8109999999999999,0.7440000000000001,0.7759999999999999,0.986,0.987,0.013999999999999999,0.256,0.18899999999999997,0.983
RF,VGG19,ResNet152V2,DenseNet201,128,0.875,0.879,0.875,0.8740000000000001,0.7809999999999999,0.802,0.7809999999999999,0.7909999999999999,0.986,0.986,0.013999999999999999,0.21899999999999997,0.198,0.983
RF,MobileNet,DenseNet121,DenseNet201,128,0.875,0.88,0.875,0.8740000000000001,0.768,0.777,0.768,0.772,0.986,0.986,0.013999999999999999,0.23199999999999998,0.223,0.983
RF,VGG19,ResNet101V2,DenseNet201,128,0.875,0.877,0.875,0.872,0.76,0.8140000000000001,0.76,0.7859999999999999,0.985,0.987,0.015,0.24,0.18600000000000003,0.983
RF,VGG19,MobileNet,DenseNet201,128,0.8740000000000001,0.878,0.8740000000000001,0.873,0.765,0.8079999999999999,0.765,0.7859999999999999,0.986,0.986,0.013999999999999999,0.235,0.192,0.983
RF,ResNet101V2,InceptionV3,DenseNet169,128,0.8740000000000001,0.878,0.8740000000000001,0.872,0.762,0.825,0.762,0.792,0.985,0.986,0.015,0.23800000000000002,0.175,0.983
RF,ResNet101V2,MobileNetV2,DenseNet169,128,0.8740000000000001,0.878,0.8740000000000001,0.872,0.743,0.81,0.743,0.775,0.985,0.986,0.015,0.257,0.19,0.983
RF,VGG19,MobileNetV2,DenseNet121,256,0.8740000000000001,0.8759999999999999,0.8740000000000001,0.871,0.752,0.8290000000000001,0.752,0.789,0.985,0.987,0.015,0.248,0.171,0.983
RF,VGG19,ResNet101V2,MobileNet,256,0.8740000000000001,0.877,0.8740000000000001,0.87,0.7240000000000001,0.84,0.7240000000000001,0.778,0.9840000000000001,0.987,0.016,0.276,0.16,0.983
RF,VGG19,ResNet101V2,ResNet152V2,256,0.8740000000000001,0.875,0.8740000000000001,0.868,0.722,0.865,0.722,0.787,0.983,0.987,0.017,0.278,0.135,0.983
RF,VGG16,ResNet101V2,DenseNet121,128,0.873,0.8809999999999999,0.873,0.873,0.768,0.813,0.768,0.79,0.986,0.986,0.013999999999999999,0.23199999999999998,0.187,0.983
RF,VGG16,ResNet101V2,DenseNet201,128,0.873,0.8759999999999999,0.873,0.872,0.765,0.797,0.765,0.7809999999999999,0.986,0.986,0.013999999999999999,0.235,0.203,0.983
RF,VGG16,MobileNet,MobileNetV2,128,0.873,0.8809999999999999,0.873,0.872,0.743,0.812,0.743,0.7759999999999999,0.986,0.986,0.013999999999999999,0.257,0.188,0.983
RF,VGG16,DenseNet121,DenseNet169,128,0.873,0.877,0.873,0.872,0.7659999999999999,0.7859999999999999,0.7659999999999999,0.7759999999999999,0.986,0.986,0.013999999999999999,0.23399999999999999,0.214,0.983
RF,ResNet101V2,MobileNet,DenseNet121,128,0.873,0.8759999999999999,0.873,0.872,0.752,0.8059999999999999,0.752,0.778,0.985,0.986,0.015,0.248,0.19399999999999998,0.983
RF,VGG16,InceptionV3,DenseNet169,128,0.873,0.877,0.873,0.871,0.767,0.812,0.767,0.789,0.986,0.986,0.013999999999999999,0.233,0.188,0.983
RF,VGG16,DenseNet121,DenseNet169,256,0.873,0.877,0.873,0.871,0.754,0.816,0.754,0.784,0.985,0.986,0.015,0.24600000000000002,0.184,0.983
RF,ResNet152V2,MobileNetV2,DenseNet201,128,0.873,0.8740000000000001,0.873,0.87,0.7340000000000001,0.7909999999999999,0.7340000000000001,0.7609999999999999,0.985,0.987,0.015,0.266,0.209,0.983
RF,ResNet101V2,ResNet152V2,MobileNet,256,0.873,0.879,0.873,0.868,0.718,0.863,0.718,0.784,0.983,0.987,0.017,0.282,0.13699999999999998,0.983
RF,VGG19,MobileNetV2,DenseNet169,128,0.872,0.88,0.872,0.872,0.763,0.794,0.763,0.778,0.987,0.986,0.013000000000000001,0.237,0.20600000000000002,0.983
RF,VGG19,InceptionV3,DenseNet169,128,0.872,0.877,0.872,0.871,0.758,0.8029999999999999,0.758,0.78,0.986,0.986,0.013999999999999999,0.242,0.19699999999999998,0.983
RF,VGG16,ResNet152V2,DenseNet201,128,0.872,0.8740000000000001,0.872,0.87,0.7490000000000001,0.8009999999999999,0.7490000000000001,0.774,0.985,0.986,0.015,0.251,0.19899999999999998,0.983
RF,ResNet101V2,ResNet152V2,MobileNetV2,256,0.872,0.873,0.872,0.865,0.713,0.8759999999999999,0.713,0.7859999999999999,0.982,0.988,0.018000000000000002,0.287,0.124,0.983
